0:0:0:0:0:0:0:1 - - [13/Apr/2024:09:49:43 +0900] "GET /swagger-ui/index.html HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Apr/2024:10:30:02 +0900] "GET /bg-upper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2024:10:30:02 +0900] "GET /bg-middle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2024:10:30:02 +0900] "GET /bg-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2024:10:30:06 +0900] "GET /register.html HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [13/Apr/2024:10:30:06 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [13/Apr/2024:10:30:09 +0900] "POST /conn.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [13/Apr/2024:10:30:32 +0900] "POST /conn.jsp HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [13/Apr/2024:10:31:55 +0900] "POST /conn.jsp HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [13/Apr/2024:10:33:27 +0900] "GET /register HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [13/Apr/2024:10:33:30 +0900] "GET /register.html HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [13/Apr/2024:10:33:30 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [13/Apr/2024:10:33:36 +0900] "POST /conn.jsp HTTP/1.1" 200 130
